Indicator,Place,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Value Added (Million Euro) in Manufacture of other non-metallic mineral products,Spain,"7,514.80","6,795.70","6,220.60","4,883.60","4,429.50","4,647.80","4,846.40","5,160","5,477.90","6,038.80"
"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.",Bavaria,"195,765","226,695","235,060","246,421","246,610","252,469","252,395","252,657","255,794","264,861"
"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers",Bavaria,"168,593","195,229","200,232","204,956","208,496","213,975","225,252","228,485","232,313","233,852"
"Employment (Number, FTE) in Manufacture of electrical equipment",Bavaria,"95,603","110,333","116,165","114,442","115,593","125,050","123,818","124,288","134,449","135,401"
"Employment (Number, FTE) in Manufacture of food products",Bavaria,"94,420","112,884","114,310","114,642","115,172","119,848","121,013","125,771","127,277","129,195"
"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",Bavaria,"86,268","101,282","104,675","107,481","108,490","110,715","113,184","118,048","120,120","125,808"
"Employment (Number, FTE) in Manufacture of computer, electronic and optical products",Bavaria,"73,200","84,482","86,372","87,929","88,232","90,733","92,881","95,102","97,720","104,509"
"Employment (Number, FTE) in Manufacture of rubber and plastic products",Bavaria,"69,161","81,192","85,217","87,459","87,011","87,380","84,375","85,059","88,012","91,927"
"Employment (Number, FTE) in Manufacture of chemicals and chemical products",Bavaria,"48,051","55,550","56,902","57,092","58,653","59,594","59,565","60,400","62,256","63,960"
"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",Bavaria,974,"5,248","5,039","5,103","5,096","5,103","5,097","5,133","5,101","5,116"
Firms (Number) in Manufacture of food products,Bavaria,839,"4,640","4,505","4,414","4,348","4,411","4,299","4,432","4,383","4,367"
Firms (Number) in Manufacture of machinery and equipment n.e.c.,Bavaria,872,"4,613","4,534","4,449","4,418","4,434","4,424","4,299","4,259","4,240"
Firms (Number) in Manufacture of rubber and plastic products,Bavaria,552,"2,933","2,835","2,855","2,871","2,815","2,719","2,690","2,706","2,684"
"Firms (Number) in Manufacture of computer, electronic and optical products",Bavaria,344,"1,875","1,788","1,745","1,733","1,764","1,815","1,849","1,815","1,799"
Firms (Number) in Manufacture of electrical equipment,Bavaria,381,"2,102","2,017","1,915","1,861","1,789","1,782","1,743","1,733","1,721"
"Firms (Number) in Manufacture of motor vehicles, trailers and semi-trailers",Bavaria,228,"1,261","1,199","1,165","1,146","1,105","1,132","1,114","1,098","1,099"
Firms (Number) in Manufacture of chemicals and chemical products,Bavaria,219,"1,225","1,178","1,163","1,163","1,154","1,123","1,113","1,115","1,085"
Share at Manufacturing Employment Manufacture of machinery and equipment n.e.c.,Bavaria,17.3,17.2,17.4,18,18,18.2,17.9,17.7,17.6,17.8
"Share at Manufacturing Employment Manufacture of motor vehicles, trailers and semi-trailers",Bavaria,14.9,14.8,14.8,15,15.2,15.4,16,16,16,15.7
Share at Manufacturing Employment Manufacture of electrical equipment,Bavaria,8.5,8.4,8.6,8.4,8.4,9,8.8,8.7,9.3,9.1
Share at Manufacturing Employment Manufacture of food products,Bavaria,8.3,8.6,8.5,8.4,8.4,8.6,8.6,8.8,8.8,8.7
"Share at Manufacturing Employment Manufacture of fabricated metal products, except machinery and equipment",Bavaria,7.6,7.7,7.8,7.9,7.9,8,8,8.3,8.3,8.4
"Share at Manufacturing Employment Manufacture of computer, electronic and optical products",Bavaria,6.5,6.4,6.4,6.4,6.4,6.5,6.6,6.7,6.7,7
Share at Manufacturing Employment Manufacture of rubber and plastic products,Bavaria,6.1,6.2,6.3,6.4,6.4,6.3,6,6,6.1,6.2
Share at Manufacturing Employment Manufacture of chemicals and chemical products,Bavaria,4.2,4.2,4.2,4.2,4.3,4.3,4.2,4.2,4.3,4.3
"Wages Manufacture of motor vehicles, trailers and semi-trailers",Bavaria,"8,866.20","10,131.90","11,115.20","11,531.40","12,642.20","13,566.80","14,713.90","15,397.90","15,974.60","16,794.20"
Wages Manufacture of machinery and equipment n.e.c.,Bavaria,"8,326.30","9,506.70","10,361.60","11,356.20","11,715.20","12,259.30","12,552.40","12,866.20","13,369.40","14,254"
Wages Manufacture of electrical equipment,Bavaria,"4,376.80","4,878","5,257.90","5,411","5,613.10","6,560.30","6,633.70","6,804.10","7,679.20","7,932.20"
"Wages Manufacture of computer, electronic and optical products",Bavaria,"3,732.10","4,200.90","4,409.40","4,569.40","4,647.30","4,891.50","5,181.90","5,476.50","5,670.10","6,168.70"
"Wages Manufacture of fabricated metal products, except machinery and equipment",Bavaria,"2,743.60","3,202","3,429.80","3,652.10","3,790.20","3,940.20","4,124.70","4,422.40","4,591","4,936.30"
Wages Manufacture of food products,Bavaria,"2,258.30","2,609.80","2,697.40","2,741.60","2,836.50","2,950.70","3,086.50","3,265.80","3,402","3,560.60"
Wages Manufacture of chemicals and chemical products,Bavaria,"2,237.40","2,527.50","2,690.70","2,763.70","2,831.90","3,004.50","3,069.30","3,166.10","3,357.40","3,547.40"
Wages Manufacture of rubber and plastic products,Bavaria,"2,253","2,572.90","2,759.30","2,900.70","2,938.50","3,010.30","2,954.80","3,118.70","3,273","3,467"
"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.",Baden-Wuerttemberg,"284,957","317,983","326,880","332,006","333,979","339,603","342,508","343,404","353,176","366,694"
"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers",Baden-Wuerttemberg,"196,417","222,939","227,731","231,402","235,205","240,299","243,789","249,379","252,348","256,685"
"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",Baden-Wuerttemberg,"128,608","149,464","157,552","158,906","161,816","164,565","166,196","166,860","171,866","179,585"
"Employment (Number, FTE) in Manufacture of electrical equipment",Baden-Wuerttemberg,"92,066","105,869","110,141","112,077","111,801","111,770","113,154","112,799","115,274","118,270"
"Employment (Number, FTE) in Manufacture of rubber and plastic products",Baden-Wuerttemberg,"56,480","65,549","67,954","68,579","68,043","70,001","70,932","71,553","73,938","74,914"
"Employment (Number, FTE) in Manufacture of food products",Baden-Wuerttemberg,"59,091","69,045","71,310","71,725","71,290","70,833","71,479","73,119","74,627","74,739"
"Employment (Number, FTE) in Manufacture of computer, electronic and optical products",Baden-Wuerttemberg,"61,201","69,165","70,585","71,226","71,771","69,747","71,551","72,302","72,317","74,209"
"Employment (Number, FTE) in Other manufacturing",Baden-Wuerttemberg,"35,324","41,263","42,185","42,972","44,362","44,977","46,355","47,671","49,124","50,856"
"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",Baden-Wuerttemberg,"1,492","6,722","6,539","6,454","6,570","6,494","6,390","6,363","6,375","6,329"
Firms (Number) in Manufacture of machinery and equipment n.e.c.,Baden-Wuerttemberg,"1,468","6,549","6,365","6,193","6,100","6,097","6,038","5,960","5,948","5,936"
Firms (Number) in Manufacture of food products,Baden-Wuerttemberg,716,"3,397","3,459","3,389","3,376","3,358","3,244","3,238","3,267","3,180"
Firms (Number) in Manufacture of rubber and plastic products,Baden-Wuerttemberg,547,"2,452","2,404","2,379","2,305","2,304","2,297","2,256","2,219","2,156"
Firms (Number) in Manufacture of electrical equipment,Baden-Wuerttemberg,535,"2,317","2,287","2,244","2,246","2,240","2,222","2,146","2,093","2,058"
"Firms (Number) in Manufacture of computer, electronic and optical products",Baden-Wuerttemberg,402,"1,833","1,813","1,779","1,797","1,727","1,703","1,690","1,650","1,623"
Firms (Number) in Other manufacturing,Baden-Wuerttemberg,332,"1,509","1,480","1,457","1,445","1,437","1,451","1,460","1,450","1,453"
Share at Manufacturing Employment Manufacture of machinery and equipment n.e.c.,Baden-Wuerttemberg,24.7,24.3,24.3,24.5,24.5,24.7,24.7,24.5,24.8,25.1
"Share at Manufacturing Employment Manufacture of motor vehicles, trailers and semi-trailers",Baden-Wuerttemberg,17,17,17,17.1,17.3,17.5,17.6,17.8,17.7,17.6
"Share at Manufacturing Employment Manufacture of fabricated metal products, except machinery and equipment",Baden-Wuerttemberg,11.1,11.4,11.7,11.7,11.9,12,12,11.9,12,12.3
Share at Manufacturing Employment Manufacture of electrical equipment,Baden-Wuerttemberg,8,8.1,8.2,8.3,8.2,8.1,8.2,8.1,8.1,8.1
Share at Manufacturing Employment Manufacture of food products,Baden-Wuerttemberg,5.1,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.1
Share at Manufacturing Employment Manufacture of rubber and plastic products,Baden-Wuerttemberg,4.9,5,5.1,5.1,5,5.1,5.1,5.1,5.2,5.1
"Share at Manufacturing Employment Manufacture of computer, electronic and optical products",Baden-Wuerttemberg,5.3,5.3,5.3,5.3,5.3,5.1,5.2,5.2,5.1,5.1
Share at Manufacturing Employment Other manufacturing,Baden-Wuerttemberg,3.1,3.1,3.1,3.2,3.3,3.3,3.3,3.4,3.4,3.5
Wages Manufacture of machinery and equipment n.e.c.,Baden-Wuerttemberg,"12,548.40","14,199","15,464.50","16,254.90","16,783.20","17,596.50","18,294.90","18,875.50","19,908.50","21,283"
"Wages Manufacture of motor vehicles, trailers and semi-trailers",Baden-Wuerttemberg,"9,984.40","11,248","12,394.60","13,185","13,775.80","14,429.70","15,270.60","15,858.10","16,489.40","17,561.50"
"Wages Manufacture of fabricated metal products, except machinery and equipment",Baden-Wuerttemberg,"4,465.10","5,285.30","5,790.50","5,999","6,261","6,487.20","6,707.90","6,821.60","7,161.80","7,687.60"
Wages Manufacture of electrical equipment,Baden-Wuerttemberg,"3,817.40","4,283","4,609","4,893.20","5,056.20","5,128.40","5,354.80","5,441.70","5,673.80","5,986"
"Wages Manufacture of computer, electronic and optical products",Baden-Wuerttemberg,"2,893.30","3,281.90","3,366.30","3,518.50","3,666.60","3,634.20","3,834.60","3,938.40","4,047","4,224.50"
Wages Manufacture of rubber and plastic products,Baden-Wuerttemberg,"1,965","2,282.80","2,438.70","2,526.20","2,568","2,667.50","2,749.30","2,834.10","3,015.90","3,056.90"
Wages Other manufacturing,Baden-Wuerttemberg,"1,306.50","1,525.50","1,627.20","1,696.70","1,766.60","1,829","1,926.70","2,016.20","2,120.80","2,255.40"
Wages Manufacture of food products,Baden-Wuerttemberg,"1,413","1,582.50","1,645.80","1,698.20","1,742","1,771.20","1,810.20","1,876.90","1,953.30","2,016.50"
"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.",North Rhine-Westphalia,"197,354","226,127","234,743","238,326","239,024","237,223","234,310","228,554","229,669","235,942"
"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",North Rhine-Westphalia,"159,386","186,661","193,527","195,557","196,218","200,304","201,950","203,405","203,511","204,069"
"Employment (Number, FTE) in Manufacture of basic metals",North Rhine-Westphalia,"109,704","125,726","126,642","128,040","126,118","124,609","125,626","123,302","123,462","125,112"
"Employment (Number, FTE) in Manufacture of food products",North Rhine-Westphalia,"85,942","102,188","102,212","102,740","101,916","101,283","105,453","107,769","114,422","118,176"
"Employment (Number, FTE) in Manufacture of chemicals and chemical products",North Rhine-Westphalia,"85,202","106,072","106,406","106,062","106,784","107,828","109,903","108,152","108,943","111,734"
"Employment (Number, FTE) in Manufacture of electrical equipment",North Rhine-Westphalia,"83,849","96,997","100,047","101,425","101,467","101,911","99,542","100,208","101,448","104,482"
"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers",North Rhine-Westphalia,"81,983","97,029","98,628","99,254","96,632","97,327","94,510","94,566","95,334","95,893"
"Employment (Number, FTE) in Manufacture of rubber and plastic products",North Rhine-Westphalia,"67,028","80,930","83,282","84,260","85,695","87,378","88,460","90,460","92,207","94,869"
